"","ID","BIOCHEMICAL","CHEMICAL.ID","COMP.ID","PLATFORM","RI","MASS","CAS","KEGG","HMDB","PUBCHEM","CHEMSPIDER","PATHWAY.SORTORDER","SUPER.PATHWAY","SUB.PATHWAY"
"M.11777","M.11777","glycine",340,11777,"GC/MS",1166,101.9,"56-40-6","C00037","HMDB00123","750",730,1,"Amino Acid","Glycine, Serine and Threonine Metabolism"
"M.27710","M.27710","N-acetylglycine",100001006,27710,"LC/MS Neg;LC/MS Pos Early",731,116.0353,"543-24-8",NA,"HMDB00532","10972",10507,2,"Amino Acid","Glycine, Serine and Threonine Metabolism"
"M.3141","M.3141","betaine",799,3141,"LC/MS Pos;LC/MS Pos Early",734,118.0863,"107-43-7","C00719","HMDB00043","247",24219951173,3,"Amino Acid","Glycine, Serine and Threonine Metabolism"
"M.1648","M.1648","serine",503,1648,"LC/MS Pos;LC/MS Pos Early",676.7,106.0499,"56-45-1","C00065","HMDB00187","5951",5736,4,"Amino Acid","Glycine, Serine and Threonine Metabolism"
"M.15686","M.15686","beta-hydroxypyruvate",100000055,15686,"GC/MS",1425.1,221,"1113-60-6;3369-79-7","C00168","HMDB01352","964",939,5,"Amino Acid","Glycine, Serine and Threonine Metabolism"
"M.1284","M.1284","threonine",564,1284,"LC/MS Pos;LC/MS Pos Early",701.5,120.0655,"72-19-5","C00188","HMDB00167","6288",6051,6,"Amino Acid","Glycine, Serine and Threonine Metabolism"
"M.33939","M.33939","N-acetylthreonine",100001274,33939,"LC/MS Neg",821.6,160.0615,"17093-74-2",NA,NA,"152204",3841173,7,"Amino Acid","Glycine, Serine and Threonine Metabolism"
"M.1126","M.1126","alanine",811,1126,"LC/MS Pos;LC/MS Pos Early",696,90.055,"56-41-7","C00041","HMDB00161","5950",5735,8,"Amino Acid","Alanine and Aspartate Metabolism"
"M.1585","M.1585","N-acetylalanine",1110,1585,"LC/MS Neg;LC/MS Polar",861.2,130.051,"97-69-8","C02847","HMDB00766","88064",79449,9,"Amino Acid","Alanine and Aspartate Metabolism"
"M.443","M.443","aspartate",234,443,"LC/MS Neg;LC/MS Pos Early",640,132.0302,"56-84-8","C00049","HMDB00191","5960",5745,10,"Amino Acid","Alanine and Aspartate Metabolism"
"M.22185","M.22185","N-acetylaspartate (NAA)",100000787,22185,"LC/MS Pos;LC/MS Polar",1222.4,176.0554,"997-55-7;997-55-7","C01042","HMDB00812","65065",58576,11,"Amino Acid","Alanine and Aspartate Metabolism"
"M.512","M.512","asparagine",917,512,"LC/MS Pos;LC/MS Pos Early",679,133.0608,"70-47-3","C00152","HMDB00168","6267",6031,12,"Amino Acid","Alanine and Aspartate Metabolism"
"M.57","M.57","glutamate",561,57,"LC/MS Pos;LC/MS Pos Early",710,148.0604,"56-86-0","C00025","HMDB00148","611",591,13,"Amino Acid","Glutamate Metabolism"
"M.53","M.53","glutamine",563,53,"LC/MS Pos;LC/MS Pos Early",680,147.0764,"56-85-9","C00064","HMDB00641","5961",5746,14,"Amino Acid","Glutamate Metabolism"
"M.47926","M.47926","alpha-ketoglutaramate**",NA,47926,"LC/MS Neg",712,144.0306,NA,NA,NA,NA,NA,15,"Amino Acid","Glutamate Metabolism"
"M.15720","M.15720","N-acetylglutamate",100000282,15720,"LC/MS Pos;LC/MS Polar",1492,190.071,"1430871","C00624","HMDB01138","70914",1266066,16,"Amino Acid","Glutamate Metabolism"
"M.33943","M.33943","N-acetylglutamine",100001253,33943,"LC/MS Pos;LC/MS Polar",1193,189.087,"2490-97-3","C02716","HMDB06029","182230",158492,17,"Amino Acid","Glutamate Metabolism"
"M.46225","M.46225","pyroglutamine*",100001540,46225,"LC/MS Pos;LC/MS Pos Early",750,129.0659,"2353-44-8",NA,NA,"134508",118562,18,"Amino Acid","Glutamate Metabolism"
"M.35665","M.35665","N-acetyl-aspartyl-glutamate (NAAG)",100001612,35665,"LC/MS Pos",1575.4,305.098,"3106-85-2","C12270","HMDB01067","5255",5065,19,"Amino Acid","Glutamate Metabolism"
"M.46894","M.46894","beta-citrylglutamate",NA,46894,"LC/MS Neg",539,320.0624,NA,NA,NA,NA,NA,20,"Amino Acid","Glutamate Metabolism"
"M.59","M.59","histidine",355,59,"LC/MS Neg",755.9,154.0622,"5934-29-2","C00135","HMDB00177","6274",752,21,"Amino Acid","Histidine Metabolism"
"M.30460","M.30460","1-methylhistidine",100001051,30460,"LC/MS Neg",1227,168.0779,"332-80-9","C01152","HMDB00001","92105",83153,22,"Amino Acid","Histidine Metabolism"
"M.15677","M.15677","3-methylhistidine",100000042,15677,"LC/MS Neg",906.3,168.0779,"368-16-1","C01152","HMDB00479","64969",58494,23,"Amino Acid","Histidine Metabolism"
"M.33946","M.33946","N-acetylhistidine",100001293,33946,"LC/MS Neg;LC/MS Pos Early",900,196.0728,"39145-52-3","C02997","HMDB32055","75619",68142,24,"Amino Acid","Histidine Metabolism"
"M.40473","M.40473","hydantoin-5-propionic acid",100002514,40473,"LC/MS Pos;LC/MS Polar",1494,173.0557,"5624-26-0","C05565","HMDB01212","782",761,25,"Amino Acid","Histidine Metabolism"
"M.15716","M.15716","imidazole lactate",100000263,15716,"LC/MS Pos;LC/MS Neg;LC/MS Pos Early",782.7,157.0608,"14403-45-3","C05568","HMDB02320","440129",389128,26,"Amino Acid","Histidine Metabolism"
"M.43488","M.43488","N-acetylcarnosine",100004046,43488,"LC/MS Pos;LC/MS Neg",1166,269.1244,"56353-15-2",NA,"HMDB12881","9903482",8079136,27,"Amino Acid","Histidine Metabolism"
"M.46663","M.46663","1-ribosyl-imidazoleacetate*",NA,46663,"LC/MS Pos;LC/MS Pos Early",958,259.0921,NA,NA,NA,NA,NA,28,"Amino Acid","Histidine Metabolism"
"M.32349","M.32349","4-imidazoleacetate",100001207,32349,"LC/MS Pos;LC/MS Pos Early",757,127.0502,"645-65-8","C02835","HMDB02024","96215",86856,29,"Amino Acid","Histidine Metabolism"
"M.1301","M.1301","lysine",407,1301,"LC/MS Pos;LC/MS Pos Early",613.8,147.1128,"56-87-1","C00047","HMDB00182","5962",5747,30,"Amino Acid","Lysine Metabolism"
"M.36752","M.36752","N6-acetyllysine",100001734,36752,"LC/MS Pos;LC/MS Neg",1140,189.1234,"692-04-6","C02727","HMDB00206","92832",83801,31,"Amino Acid","Lysine Metabolism"
"M.1498","M.1498","N6,N6,N6-trimethyllysine",189,1498,"LC/MS Pos;LC/MS Pos Early",690,189.1598,"23284-33-5","C03793","HMDB01325","440120",140379,32,"Amino Acid","Lysine Metabolism"
"M.6146","M.6146","2-aminoadipate",381,6146,"LC/MS Pos;LC/MS Polar",793.3,162.0761,"542-32-5;1118-90-7","C00956","HMDB00510","469",456,33,"Amino Acid","Lysine Metabolism"
"M.44664","M.44664","glutarylcarnitine (C5-DC)",100001593,44664,"LC/MS Pos;LC/MS Pos Early",1583.3,276.1442,"102636-82-8",NA,"HMDB13130","71464488",21403175,34,"Amino Acid","Lysine Metabolism"
"M.1444","M.1444","pipecolate",1025,1444,"LC/MS Pos;LC/MS Pos Early",1120,130.0863,"4043-87-2","C00408","HMDB00070","849",826,35,"Amino Acid","Lysine Metabolism"
"M.43231","M.43231","6-oxopiperidine-2-carboxylate",100004499,43231,"LC/MS Pos;LC/MS Neg",1826.6,144.0655,"34622-39-4",NA,"HMDB61705","3014237",2282737,36,"Amino Acid","Lysine Metabolism"
"M.46410","M.46410","N-trimethyl 5-aminovalerate",NA,46410,"LC/MS Pos",973,160.1333,NA,NA,NA,NA,NA,37,"Amino Acid","Lysine Metabolism"
"M.64","M.64","phenylalanine",460,64,"LC/MS Pos;LC/MS Pos Early",2050,166.0863,"63-91-2","C00079","HMDB00159","6140",5910,38,"Amino Acid","Phenylalanine Metabolism"
"M.33950","M.33950","N-acetylphenylalanine",100001256,33950,"LC/MS Neg",2597,206.0823,"2018-61-3","C03519","HMDB00512","74839",67404,39,"Amino Acid","Phenylalanine Metabolism"
"M.46473","M.46473","1-carboxyethylphenylalanine",NA,46473,"LC/MS Neg",2843,236.093,NA,NA,NA,NA,NA,40,"Amino Acid","Phenylalanine Metabolism"
"M.566","M.566","phenylpyruvate",241,566,"LC/MS Neg",2515,163.0401,"156-06-9","C00166","HMDB00205","997",972,41,"Amino Acid","Phenylalanine Metabolism"
"M.22130","M.22130","phenyllactate (PLA)",100000774,22130,"LC/MS Neg",2208,165.0557,"828-01-3","C05607","HMDB00779","3848",3715,42,"Amino Acid","Phenylalanine Metabolism"
"M.1299","M.1299","tyrosine",815,1299,"LC/MS Pos;LC/MS Pos Early",1516.3,182.0812,"60-18-4","C00082","HMDB00158","6057",5833,43,"Amino Acid","Tyrosine Metabolism"
"M.32390","M.32390","N-acetyltyrosine",100001104,32390,"LC/MS Neg;LC/MS Pos",1680,222.0772,"537-55-3",NA,"HMDB00866","68310",61606,44,"Amino Acid","Tyrosine Metabolism"
"M.1669","M.1669","4-hydroxyphenylpyruvate",1141,1669,"LC/MS Neg",1690,179.035,"156-39-8","C01179","HMDB00707","979",954,45,"Amino Acid","Tyrosine Metabolism"
"M.32197","M.32197","3-(4-hydroxyphenyl)lactate",240,32197,"LC/MS Neg",1379,181.0506,"6482-98-0","C03672","HMDB00755","9378",9010,46,"Amino Acid","Tyrosine Metabolism"
"M.32553","M.32553","phenol sulfate",100001510,32553,"LC/MS Neg",2156,172.9914,"937-34-8","C02180","HMDB60015","74426",67018,47,"Amino Acid","Tyrosine Metabolism"
"M.1567","M.1567","vanillylmandelate (VMA)",1111,1567,"LC/MS Neg",941,197.0456,"55-10-7","C05584","HMDB00291","1245",1207,48,"Amino Acid","Tyrosine Metabolism"
"M.12017","M.12017","3-methoxytyrosine",1342,12017,"LC/MS Neg;LC/MS Pos;LC/MS Pos Early",1606,210.0772,"300-48-1",NA,"HMDB01434","1670",8948,49,"Amino Acid","Tyrosine Metabolism"
"M.44618","M.44618","3-methoxytyramine sulfate",100004634,44618,"LC/MS Neg",1722,246.0442,NA,NA,NA,NA,21233674,50,"Amino Acid","Tyrosine Metabolism"
"M.47969","M.47969","dopamine 4-sulfate",NA,47969,"LC/MS Neg",1515,232.0288,NA,NA,NA,NA,NA,51,"Amino Acid","Tyrosine Metabolism"
"M.47968","M.47968","dopamine 3-O-sulfate",NA,47968,"LC/MS Neg",1562,232.0288,NA,NA,NA,NA,NA,52,"Amino Acid","Tyrosine Metabolism"
"M.46435","M.46435","p-cresol glucuronide*",NA,46435,"LC/MS Neg",2456,283.0826,NA,NA,NA,NA,NA,53,"Amino Acid","Tyrosine Metabolism"
"M.47667","M.47667","tyramine O-sulfate",NA,47667,"LC/MS Neg",1587,216.0338,NA,NA,NA,NA,NA,54,"Amino Acid","Tyrosine Metabolism"
"M.46079","M.46079","thyroxine",1094,46079,"LC/MS Pos",4963,777.694,"51-48-9","C01829","HMDB01918","5819",5614,55,"Amino Acid","Tyrosine Metabolism"
"M.54","M.54","tryptophan",565,54,"LC/MS Pos;LC/MS Pos Early",2440,205.0972,"73-22-3","C00078","HMDB00929","6305",6066,56,"Amino Acid","Tryptophan Metabolism"
"M.33959","M.33959","N-acetyltryptophan",100001254,33959,"LC/MS Neg",2630,245.0932,"1218-34-4","C03137","HMDB13713","700653",610602,57,"Amino Acid","Tryptophan Metabolism"
"M.32675","M.32675","C-glycosyltryptophan",100001949,32675,"LC/MS Pos",1917.6,367.15,NA,NA,NA,NA,13218203,58,"Amino Acid","Tryptophan Metabolism"
"M.37097","M.37097","tryptophan betaine",100001743,37097,"LC/MS Pos;LC/MS Pos Early",2466,247.1441,"20671-76-5","C09213","HMDB61115","442106",390633,59,"Amino Acid","Tryptophan Metabolism"
"M.15140","M.15140","kynurenine",100000265,15140,"LC/MS Pos;LC/MS Pos Early",1902.1,209.0921,"2922-83-0","C00328","HMDB00684","161166",141580,60,"Amino Acid","Tryptophan Metabolism"
